date,poids
2025-01-09,77.90
2025-01-10,78.10
2025-01-13,78.30
2025-02-06,78.20
2025-02-07,77.80
2025-02-08,77.20
2025-02-09,77.50
2025-02-10,77.50
2025-02-11,76.90
2025-02-12,76.80
2025-02-13,76.40
2025-02-14,76.50
2025-02-15,76.40
2025-02-16,76.40
2025-02-17,75.90
2025-02-18,76.20
2025-02-19,76.10
2025-02-20,75.60
2025-02-21,75.00
2025-02-22,75.10
2025-02-23,74.60
2025-02-24,74.90
2025-02-25,74.70
2025-02-26,74.80
2025-02-27,74.40
2025-02-28,74.50
2025-03-04,75.00
2025-03-05,74.70
2025-03-06,75.30
2025-03-07,74.90
2025-03-08,76.40
2025-03-09,76.30
2025-03-10,75.90
2025-03-11,75.40
2025-03-12,75.10
2025-03-13,74.90
2025-03-14,74.60
2025-03-15,74.20
2025-03-16,74.60
2025-03-17,74.50
2025-03-18,74.20
2025-03-19,74.20
2025-03-20,74.50
2025-03-22,74.50
2025-03-23,75.10
2025-03-24,74.90
2025-03-25,74.80
2025-03-26,75.00
2025-03-27,75.10
2025-03-28,75.10
2025-03-29,74.70
2025-03-30,74.00
2025-03-31,74.60
2025-04-01,74.00
2025-04-02,74.60
2025-04-03,74.50
2025-04-04,74.30
2025-04-05,74.50
2025-04-06,74.60
2025-04-07,74.20
2025-04-08,73.80
2025-04-09,74.20
2025-04-10,74.70
2025-04-11,74.60
2025-04-12,73.90
2025-04-13,74.20
2025-04-14,74.50
2025-04-15,74.90
2025-04-16,74.80
2025-04-17,74.10
2025-04-18,73.60
2025-04-19,73.80
2025-04-20,74.90
2025-04-21,74.70
2025-04-22,74.00
2025-04-23,73.90
2025-04-24,74.00
2025-04-25,73.90
2025-04-26,74.60
2025-04-27,74.60
2025-04-28,74.50
2025-05-01,75.70
2025-05-02,76.00
2025-05-03,75.70
2025-05-04,75.40
2025-05-05,74.40
2025-05-06,73.50
2025-05-07,73.80
2025-05-08,74.50
2025-05-09,74.00
2025-05-10,73.80
2025-05-11,73.60
2025-05-12,73.10
2025-05-13,72.90
2025-05-14,73.00
2025-05-15,73.00
2025-05-16,73.30
2025-05-17,73.00
2025-05-19,73.80
2025-05-20,73.30
2025-05-21,73.60
2025-05-22,73.80
2025-05-23,73.60
2025-05-24,72.80
2025-05-25,72.80
2025-05-26,72.80
2025-05-27,73.70
2025-05-28,73.00
2025-05-29,72.20
2025-05-30,72.40
2025-05-31,72.10
2025-06-01,72.00
2025-06-02,72.40
2025-06-03,72.10
2025-06-04,71.80
2025-06-05,72.30
2025-06-06,72.30
2025-06-07,71.60
2025-06-08,70.60
2025-06-09,71.70
2025-06-10,72.40
2025-06-11,71.60
2025-06-12,71.60
2025-06-13,71.80
2025-06-14,71.40
2025-06-15,71.40
2025-06-16,71.30
2025-06-17,71.40
2025-06-18,71.10
2025-06-19,71.20
2025-06-20,71.90
2025-06-21,70.90
